Palabra,Donald Trump.csv,,James David Vance.csv,,Joe Biden.csv,,Kamala Harris.csv,,Tim Walz.csv,Sentimiento
dispelled,0,,0,,1,,0,,0,0
ametica,0,,0,,1,,0,,0,0
stem,0,,0,,1,,0,,1,Neutral
usernames,0,,0,,1,,0,,0,0
deepest,0,,0,,1,,0,,0,0
shadw,0,,0,,1,,0,,0,0
blasting,0,,0,,1,,1,,0,0
mood,0,,0,,1,,0,,0,0
stotu,0,,0,,1,,0,,0,0
epileptic,0,,0,,1,,0,,0,0
otherwisegreat,0,,0,,1,,0,,0,0
drongo,0,,0,,1,,0,,0,0
hazzard,0,,0,,1,,0,,0,0
importantnothing,0,,0,,1,,0,,0,0
colonizing,0,,0,,1,,0,,0,0
sandi,0,,0,,1,,0,,0,0
keepin,0,,0,,1,,0,,0,0
rfkjr,0,,0,,1,,1,,0,0
regained,0,,0,,1,,0,,0,0
salty,0,,0,,1,,0,,0,0
launch,0,,0,,1,,0,,1,Neutral
partepic,0,,0,,1,,0,,0,0
genecider,0,,0,,1,,0,,0,0
bru,0,,0,,1,,0,,0,0
lawlessly,0,,0,,1,,0,,0,0
derided,0,,0,,1,,0,,0,0
coordinate,0,,0,,1,,0,,0,0
contnued,0,,0,,1,,0,,0,0
testoring,0,,0,,1,,0,,0,0
tounch,0,,0,,1,,0,,0,0
surpassing,0,,0,,1,,0,,0,0
aristocracy,0,,0,,1,,0,,0,0
cobalt,0,,0,,1,,0,,0,0
recycle,0,,0,,1,,0,,0,0
groundwater,0,,0,,1,,0,,0,0
vacuum,0,,0,,1,,0,,1,Neutral
comically,0,,0,,1,,1,,0,0
presidentever,0,,0,,1,,0,,0,0
ticktock,0,,0,,1,,0,,0,0
bidenvote,0,,0,,1,,0,,0,0
calf,0,,0,,1,,0,,0,0
safest,0,,0,,1,,0,,0,0
faded,0,,0,,1,,1,,0,0
sill,0,,0,,1,,0,,0,0
vires,0,,0,,1,,0,,0,0
americains,0,,0,,1,,0,,0,0
yearsstay,0,,0,,1,,0,,0,0
serbia,0,,0,,1,,0,,0,0
democart,0,,0,,1,,0,,0,0
puking,0,,0,,1,,0,,0,0
enshrine,0,,0,,1,,0,,0,0
secluded,0,,0,,1,,0,,0,0
pieace,0,,0,,1,,0,,0,0
astroturfed,0,,0,,1,,0,,0,0
instruct,0,,0,,1,,0,,0,0
possessing,0,,0,,1,,0,,0,0
tox,0,,0,,1,,0,,0,0
leathery,0,,0,,1,,0,,0,0
bacon,0,,0,,1,,0,,2,Neutral
obamnah,0,,0,,1,,0,,0,0
predatorssay,0,,0,,1,,0,,0,0
kininiagan,0,,0,,1,,0,,0,0
accomplishes,0,,0,,1,,0,,1,Neutral
featured,0,,0,,1,,0,,0,0
textbook,0,,0,,1,,0,,0,0
thebidenage,0,,0,,1,,0,,0,0
republication,0,,0,,1,,0,,0,0
goldfish,0,,0,,1,,1,,0,0
meidastouchfor,0,,0,,1,,0,,0,0
campaignvoted,0,,0,,1,,0,,0,0
inflicted,0,,0,,1,,0,,0,0
corridor,0,,0,,1,,0,,0,0
tackle,0,,0,,1,,0,,0,0
weeklythe,0,,0,,1,,0,,0,0
trumptards,0,,0,,1,,0,,0,0
educationtheyve,0,,0,,1,,0,,0,0
debateand,0,,0,,1,,0,,0,0
oppositionthere,0,,0,,1,,0,,0,0
fling,0,,0,,1,,0,,0,0
dedicate,0,,0,,1,,1,,0,0
mealy,0,,0,,1,,0,,0,0
zealander,0,,0,,1,,1,,0,0
curing,0,,0,,1,,0,,0,0
snuggler,0,,0,,1,,0,,0,0
rightim,0,,0,,1,,0,,0,0
simon,0,,0,,1,,0,,2,Neutral
rosenberg,0,,0,,1,,0,,0,0
amyone,0,,0,,1,,0,,0,0
sate,0,,0,,1,,0,,0,0
participation,0,,0,,1,,0,,1,Neutral
linoln,0,,0,,1,,0,,0,0
sluring,0,,0,,1,,0,,0,0
psaki,0,,0,,1,,0,,0,0
ganes,0,,0,,1,,0,,0,0
devalued,0,,0,,1,,0,,0,0
undererated,0,,0,,1,,0,,0,0
herevote,0,,0,,1,,0,,0,0
delievered,0,,0,,1,,0,,0,0
yearsbidenharris,0,,0,,1,,0,,0,0
troth,0,,0,,1,,0,,0,0
sential,0,,0,,1,,0,,0,0
pieced,0,,0,,1,,0,,0,0
pettymean,0,,0,,1,,0,,0,0
selfimportant,0,,0,,1,,0,,0,0
houseplant,0,,0,,1,,0,,0,0
joefantastic,0,,0,,1,,0,,0,0
buuuut,0,,0,,1,,0,,0,0
smartphone,0,,0,,1,,0,,0,0
abys,0,,0,,1,,0,,0,0
newly,0,,0,,1,,3,,0,0
cheeky,0,,0,,1,,0,,0,0
namecalling,0,,0,,1,,0,,1,Neutral
overthehill,0,,0,,1,,0,,0,0
yuckno,0,,0,,1,,0,,0,0
writingyou,0,,0,,1,,0,,0,0
thatyour,0,,0,,1,,0,,0,0
trumpthink,0,,0,,1,,0,,0,0
embarresment,0,,0,,1,,0,,0,0
portraiture,0,,0,,1,,0,,0,0
ment,0,,0,,1,,0,,0,0
shatters,0,,0,,1,,0,,0,0
fanbloodytastic,0,,0,,1,,0,,0,0
heregoooo,0,,0,,1,,0,,0,0
landmark,0,,0,,1,,0,,1,Neutral
toxin,0,,0,,1,,0,,0,0
prochoice,0,,0,,1,,0,,0,0
proclimate,0,,0,,1,,0,,0,0
ayman,0,,0,,1,,0,,0,0
alzawahiri,0,,0,,1,,0,,0,0
qaeda,0,,0,,1,,0,,0,0
averted,0,,0,,1,,0,,0,0
railroad,0,,0,,1,,0,,0,0
rindin,0,,0,,1,,0,,0,0
dentist,0,,0,,1,,0,,0,0
believeswe,0,,0,,1,,0,,0,0
punchlines,0,,0,,1,,0,,0,0
dispatchyoure,0,,0,,1,,0,,0,0
righted,0,,0,,1,,0,,0,0
touchuch,0,,0,,1,,0,,0,0
ishuman,0,,0,,1,,0,,0,0
tactically,0,,0,,1,,0,,0,0
incumbancy,0,,0,,1,,0,,0,0
livelihood,0,,0,,1,,0,,0,0
competenceand,0,,0,,1,,0,,0,0
doughnut,0,,0,,1,,1,,0,0
overunder,0,,0,,1,,0,,0,0
votesmy,0,,0,,1,,0,,0,0
libatard,0,,0,,1,,0,,0,0
turner,0,,0,,1,,0,,0,0
polo,0,,0,,1,,0,,0,0
brownnosing,0,,0,,1,,0,,0,0
relic,0,,0,,1,,0,,0,0
trueinternationofadepressure,0,,0,,1,,0,,0,0
noid,0,,0,,1,,0,,0,0
kidney,0,,0,,1,,0,,1,Neutral
dental,0,,0,,1,,2,,0,0
foterskingrski,0,,0,,1,,0,,0,0
proudest,0,,0,,1,,0,,0,0
swell,0,,0,,1,,0,,0,0
mahers,0,,0,,1,,0,,0,0
deservers,0,,0,,1,,0,,0,0
evading,0,,0,,1,,1,,1,Neutral
unca,0,,0,,1,,0,,0,0
presidentps,0,,0,,1,,0,,0,0
navigated,0,,0,,1,,0,,0,0
schizophrenic,0,,0,,1,,0,,0,0
downtown,0,,0,,1,,0,,1,Neutral
gunned,0,,0,,1,,0,,0,0
plaguing,0,,0,,1,,0,,0,0
garnered,0,,0,,1,,0,,0,0
representshis,0,,0,,1,,0,,0,0
schmoe,0,,0,,1,,0,,0,0
boaster,0,,0,,1,,0,,0,0
bidena,0,,0,,1,,0,,0,0
rushmore,0,,0,,1,,0,,0,0
gncde,0,,0,,1,,0,,0,0
sooooooo,0,,0,,1,,0,,0,0
peopl,0,,0,,1,,0,,0,0
cuddling,0,,0,,1,,0,,0,0
blivit,0,,0,,1,,0,,0,0
epici,0,,0,,1,,0,,0,0
sacrificing,0,,0,,1,,0,,0,0
index,0,,0,,1,,3,,4,Neutral
gettem,0,,0,,1,,0,,0,0
apalling,0,,0,,1,,0,,0,0
org,0,,0,,1,,0,,0,0
alter,0,,0,,1,,0,,0,0
upvotes,0,,0,,1,,0,,0,0
downvotes,0,,0,,1,,0,,0,0
downvoted,0,,0,,1,,0,,0,0
cooool,0,,0,,1,,0,,0,0
hansome,0,,0,,1,,0,,0,0
cits,0,,0,,1,,0,,0,0
disappear,0,,0,,1,,3,,1,Neutral
keywords,0,,0,,1,,0,,0,0
gojoe,0,,0,,1,,0,,0,0
babyf,0,,0,,1,,0,,0,0
obuma,0,,0,,1,,0,,0,0
controling,0,,0,,1,,0,,0,0
everydayjust,0,,0,,1,,0,,0,0
projectabsolutely,0,,0,,1,,0,,0,0
sesulin,0,,0,,1,,0,,0,0
btilliant,0,,0,,1,,0,,0,0
heyday,0,,0,,1,,0,,0,0
greenlight,0,,0,,1,,0,,0,0
gazajoe,0,,0,,1,,0,,0,0
kameltoe,0,,0,,1,,0,,1,Neutral
mannnnn,0,,0,,1,,0,,0,0
devisive,0,,0,,1,,0,,0,0
hemightbe,0,,0,,1,,0,,0,0
yearsput,0,,0,,1,,0,,0,0
herego,0,,0,,1,,0,,0,0
usi,0,,0,,1,,0,,0,0
strapup,0,,0,,1,,0,,0,0
dealershow,0,,0,,1,,0,,0,0
guytalk,0,,0,,1,,0,,0,0
pharmacommercials,0,,0,,1,,0,,0,0
dod,0,,0,,1,,1,,1,Neutral
soared,0,,0,,1,,1,,0,0
upgo,0,,0,,1,,0,,0,0
cupid,0,,0,,1,,0,,0,0
racyst,0,,0,,1,,0,,0,0
athhole,0,,0,,1,,0,,0,0
pdojoe,0,,0,,1,,0,,0,0
reflective,0,,0,,1,,0,,0,0
aneurysm,0,,0,,1,,0,,0,0
freezer,0,,0,,1,,0,,0,0
storefront,0,,0,,1,,0,,0,0
statesmanlike,0,,0,,1,,0,,0,0
hatefilled,0,,0,,1,,0,,0,0
journeyman,0,,0,,1,,0,,0,0
agoin,0,,0,,1,,0,,0,0
halfbaked,0,,0,,1,,0,,0,0
trumpcare,0,,0,,1,,0,,0,0
approves,0,,0,,1,,1,,0,0
rounding,0,,0,,1,,0,,1,Neutral
execting,0,,0,,1,,0,,0,0
shoplifter,0,,0,,1,,0,,0,0
immigrats,0,,0,,1,,0,,0,0
notecards,0,,0,,1,,0,,0,0
perfectim,0,,0,,1,,0,,0,0
nonissue,0,,0,,1,,0,,0,0
amreica,0,,0,,1,,0,,0,0
youjoe,0,,0,,1,,0,,0,0
overrunning,0,,0,,1,,0,,0,0
tooour,0,,0,,1,,0,,0,0
hardwise,0,,0,,1,,0,,0,0
directionpresident,0,,0,,1,,0,,0,0
africanamerican,0,,0,,1,,2,,0,0
busing,0,,0,,1,,0,,0,0
desegregate,0,,0,,1,,0,,0,0
julius,0,,0,,1,,0,,0,0
cesar,0,,0,,1,,0,,0,0
orangehead,0,,0,,1,,0,,0,0
sponsoring,0,,0,,1,,0,,0,0
defuned,0,,0,,1,,0,,0,0
buster,0,,0,,1,,0,,0,0
jokejoe,0,,0,,1,,0,,0,0
ethically,0,,0,,1,,1,,0,0
snakeoil,0,,0,,1,,0,,0,0
fakery,0,,0,,1,,0,,0,0
rightthinking,0,,0,,1,,0,,0,0
civilised,0,,0,,1,,0,,0,0
killin,0,,0,,1,,0,,0,0
mistreated,0,,0,,1,,0,,0,0
heeeyyyy,0,,0,,1,,0,,0,0
beijing,0,,0,,1,,0,,0,0
chuckling,0,,0,,1,,0,,0,0
comin,0,,0,,1,,0,,0,0
elderswe,0,,0,,1,,0,,0,0
ctrlf,0,,0,,1,,0,,0,0
exclamation,0,,0,,1,,0,,0,0
botted,0,,0,,1,,0,,0,0
layout,0,,0,,1,,0,,0,0
wordword,0,,0,,1,,0,,0,0
glutinous,0,,0,,1,,0,,0,0
presidentintelligent,0,,0,,1,,0,,0,0
humorousfour,0,,0,,1,,0,,0,0
ityou,0,,0,,1,,0,,0,0
christofacists,0,,0,,1,,0,,0,0
sporting,0,,0,,1,,1,,0,0
colonize,0,,0,,1,,0,,0,0
exclude,0,,0,,1,,0,,1,Neutral
israelhamas,0,,0,,1,,0,,0,0
massacred,0,,0,,1,,0,,0,0
prorebels,0,,0,,1,,0,,0,0
propalestinians,0,,0,,1,,0,,0,0
adressing,0,,0,,1,,1,,0,0
headsup,0,,0,,1,,0,,0,0
gawddamn,0,,0,,1,,0,,0,0
bribeem,0,,0,,1,,0,,0,0
unbeleivable,0,,0,,1,,0,,0,0
preside,0,,0,,1,,0,,0,0
baiting,0,,0,,1,,0,,0,0
mejust,0,,0,,1,,0,,0,0
butjust,0,,0,,1,,0,,0,0
countered,0,,0,,1,,0,,1,Neutral
allor,0,,0,,1,,0,,0,0
nationbut,0,,0,,1,,0,,0,0
campaignlike,0,,0,,1,,0,,0,0
andit,0,,0,,1,,0,,0,0
merica,0,,0,,1,,0,,0,0
bluedemocrat,0,,0,,1,,0,,0,0
packing,0,,0,,1,,2,,1,Neutral
crackerjack,0,,0,,1,,0,,0,0
deprecating,0,,0,,1,,1,,0,0
youy,0,,0,,1,,0,,0,0
hardl,0,,0,,1,,0,,0,0
johncena,0,,0,,1,,0,,0,0
imeed,0,,0,,1,,0,,0,0
kimdly,0,,0,,1,,0,,0,0
bod,0,,0,,1,,0,,0,0
fiber,0,,0,,1,,0,,0,0
rdof,0,,0,,1,,0,,0,0
harrisseriously,0,,0,,1,,0,,0,0
bidengreetings,0,,0,,1,,0,,0,0
reviewing,0,,0,,1,,0,,1,Neutral
accts,0,,0,,1,,0,,0,0
redblue,0,,0,,1,,0,,0,0
braverly,0,,0,,1,,0,,0,0
awaking,0,,0,,1,,0,,0,0
presidentthey,0,,0,,1,,0,,0,0
selfpity,0,,0,,1,,0,,0,0
haor,0,,0,,1,,0,,0,0
prsident,0,,0,,1,,0,,0,0
meides,0,,0,,1,,0,,0,0
crouch,0,,0,,1,,0,,0,0
nobrainer,0,,0,,1,,0,,0,0
tyrannic,0,,0,,1,,0,,0,0
justicedont,0,,0,,1,,0,,0,0
daca,0,,0,,1,,0,,0,0
tps,0,,0,,1,,0,,0,0
muscling,0,,0,,1,,0,,0,0
lyin,0,,0,,1,,0,,0,0
shootin,0,,0,,1,,0,,0,0
cryin,0,,0,,1,,1,,0,0
whinin,0,,0,,1,,0,,0,0
thinkin,0,,0,,1,,0,,0,0
doesits,0,,0,,1,,0,,0,0
notnot,0,,0,,1,,0,,0,0
finallyan,0,,0,,1,,0,,0,0
afar,0,,0,,1,,0,,0,0
kat,0,,0,,1,,0,,0,0
viewed,0,,0,,1,,0,,0,0
meanie,0,,0,,1,,0,,0,0
rap,0,,0,,1,,17,,0,0
badasscapable,0,,0,,1,,0,,0,0
joeage,0,,0,,1,,0,,0,0
numberyou,0,,0,,1,,0,,0,0
thatvote,0,,0,,1,,0,,0,0
itand,0,,0,,1,,0,,0,0
accessed,0,,0,,1,,0,,0,0
unapologetically,0,,0,,1,,2,,0,0
bidenharriswe,0,,0,,1,,0,,0,0
failsty,0,,0,,1,,0,,0,0
ahahahastraight,0,,0,,1,,0,,0,0
attribute,0,,0,,1,,0,,1,Neutral
factsno,0,,0,,1,,0,,0,0
embellishment,0,,0,,1,,0,,0,0
kitara,0,,0,,1,,0,,0,0
hammering,0,,0,,1,,0,,0,0
shitgibbon,0,,0,,1,,0,,0,0
doinga,0,,0,,1,,0,,0,0
pleese,0,,0,,1,,0,,0,0
unpaid,0,,0,,1,,0,,0,0
alldayany,0,,0,,1,,0,,0,0
whippersnapper,0,,0,,1,,0,,0,0
clumsiness,0,,0,,1,,0,,0,0
delivering,0,,0,,1,,2,,1,Neutral
federally,0,,0,,1,,0,,0,0
realze,0,,0,,1,,0,,0,0
transformative,0,,0,,1,,0,,0,0
hunkered,0,,0,,1,,0,,0,0
unleashed,0,,0,,1,,1,,0,0
chumptolife,0,,0,,1,,0,,0,0
unioncamera,0,,0,,1,,0,,0,0
facemask,0,,0,,1,,0,,0,0
blooming,0,,0,,1,,0,,0,0
northwest,0,,0,,1,,0,,0,0
selfdeprecation,0,,0,,1,,0,,0,0
yellerjust,0,,0,,1,,0,,0,0
spectrum,0,,0,,1,,2,,4,Neutral
unseat,0,,0,,1,,0,,0,0
galvanize,0,,0,,1,,0,,0,0
meidustouch,0,,0,,1,,0,,0,0
claymont,0,,0,,1,,0,,0,0
retriever,0,,0,,1,,0,,0,0
velociraptor,0,,0,,1,,0,,0,0
customize,0,,0,,1,,0,,0,0
bloc,0,,0,,1,,0,,0,0
slovenly,0,,0,,1,,0,,0,0
predecessorpretender,0,,0,,1,,0,,0,0
discern,0,,0,,1,,0,,0,0
insideous,0,,0,,1,,0,,0,0
frase,0,,0,,1,,0,,0,0
extract,0,,0,,1,,0,,0,0
submission,0,,0,,1,,0,,0,0
unknowingly,0,,0,,1,,1,,0,0
attaching,0,,0,,1,,1,,0,0
sustains,0,,0,,1,,1,,0,0
trespass,0,,0,,1,,0,,0,0
governancedemocracy,0,,0,,1,,0,,0,0
ecomic,0,,0,,1,,0,,0,0
muchits,0,,0,,1,,0,,0,0
thw,0,,0,,1,,0,,0,0
meandering,0,,0,,1,,0,,0,0
ofinsulting,0,,0,,1,,0,,0,0
btwim,0,,0,,1,,0,,0,0
cardio,0,,0,,1,,2,,0,0
gopeer,0,,0,,1,,0,,0,0
herel,0,,0,,1,,0,,0,0
olive,0,,0,,1,,0,,0,0
letz,0,,0,,1,,0,,0,0
presidentbiden,0,,0,,1,,0,,0,0
ahhwhat,0,,0,,1,,0,,0,0
isits,0,,0,,1,,0,,0,0
waging,0,,0,,1,,0,,0,0
frankify,0,,0,,1,,0,,0,0
tory,0,,0,,1,,0,,0,0
ivf,0,,0,,1,,1,,8,Neutral
youyour,0,,0,,1,,0,,0,0
gandalf,0,,0,,1,,0,,0,0
fellowship,0,,0,,1,,0,,0,0
farehandedly,0,,0,,1,,0,,0,0
themmrpresidentevery,0,,0,,1,,0,,0,0
weeknever,0,,0,,1,,0,,0,0
happenedyou,0,,0,,1,,0,,0,0
bridgesroadscondemned,0,,0,,1,,0,,0,0
ramped,0,,0,,1,,0,,0,0
rased,0,,0,,1,,0,,0,0
repairedthanks,0,,0,,1,,0,,0,0
jq,0,,0,,1,,0,,0,0
personhis,0,,0,,1,,0,,0,0
unappreciated,0,,0,,1,,0,,0,0
prssident,0,,0,,1,,0,,0,0
repug,0,,0,,1,,0,,0,0
oft,0,,0,,1,,0,,0,0
mahalo,0,,0,,1,,0,,0,0
twitch,0,,0,,1,,0,,0,0
placement,0,,0,,1,,0,,0,0
redo,0,,0,,1,,0,,0,0
deprecation,0,,0,,1,,0,,0,0
bigoted,0,,0,,1,,0,,0,0
redirected,0,,0,,1,,0,,0,0
bideni,0,,0,,1,,0,,0,0
publishing,0,,0,,1,,1,,0,0
photograph,0,,0,,1,,0,,0,0
communicate,0,,0,,1,,5,,0,0
handcuffed,0,,0,,1,,0,,0,0
slob,0,,0,,1,,0,,0,0
aha,0,,0,,1,,0,,0,0
lfg,0,,0,,1,,1,,1,Neutral
circulating,0,,0,,1,,0,,0,0
exploration,0,,0,,1,,0,,0,0
taxpaying,0,,0,,1,,0,,0,0
injected,0,,0,,1,,0,,0,0
hullabaloo,0,,0,,1,,0,,0,0
priestent,0,,0,,1,,0,,0,0
hannitys,0,,0,,1,,0,,0,0
rehearsedplease,0,,0,,1,,0,,0,0
groceryhomelessness,0,,0,,1,,0,,0,0
borderhes,0,,0,,1,,0,,0,0
yetwhy,0,,0,,1,,0,,0,0
ukrainewere,0,,0,,1,,0,,0,0
moneygee,0,,0,,1,,0,,0,0
trumpgod,0,,0,,1,,0,,0,0
practicality,0,,0,,1,,0,,0,0
earnings,0,,0,,1,,0,,0,0
raytheon,0,,0,,1,,0,,0,0
boeing,0,,0,,1,,0,,0,0
lockheed,0,,0,,1,,0,,0,0
hypnotic,0,,0,,1,,1,,0,0
rattler,0,,0,,1,,0,,0,0
carehome,0,,0,,1,,0,,0,0
moneyyou,0,,0,,1,,0,,0,0
bubblestate,0,,0,,1,,0,,0,0
bullthan,0,,0,,1,,0,,0,0
whosoever,0,,0,,1,,0,,0,0
opressing,0,,0,,1,,0,,0,0
sovjet,0,,0,,1,,0,,0,0
genzers,0,,0,,1,,0,,0,0
blinder,0,,0,,1,,0,,0,0
digitally,0,,0,,1,,0,,0,0
uni,0,,0,,1,,0,,0,0
machiavellianism,0,,0,,1,,0,,0,0
sadism,0,,0,,1,,0,,0,0
orientation,0,,0,,1,,0,,0,0
croney,0,,0,,1,,0,,0,0
thatd,0,,0,,1,,1,,0,0
employing,0,,0,,1,,0,,1,Neutral
hereby,0,,0,,1,,0,,0,0
hpsyoutubecomshortspvgxixlljofeatureshar,0,,0,,1,,0,,0,0
hpsyoutubemjaqeanhefeaturesha,0,,0,,1,,0,,0,0
bulgaria,0,,0,,1,,0,,0,0
adress,0,,0,,1,,0,,0,0
fa,0,,0,,1,,0,,0,0
inferring,0,,0,,1,,0,,0,0
ukranina,0,,0,,1,,0,,0,0
bbb,0,,0,,1,,0,,0,0
methamphetamine,0,,0,,1,,0,,0,0
barnam,0,,0,,1,,0,,0,0
ukrainesay,0,,0,,1,,0,,0,0
litrealy,0,,0,,1,,0,,0,0
compilation,0,,0,,1,,0,,0,0
unfolding,0,,0,,1,,0,,0,0
lckin,0,,0,,1,,0,,0,0
blls,0,,0,,1,,0,,0,0
approving,0,,0,,1,,0,,0,0
pfizer,0,,0,,1,,0,,0,0
earpiecehe,0,,0,,1,,0,,0,0
memorize,0,,0,,1,,2,,0,0
accomplishmentwhen,0,,0,,1,,0,,0,0
expectancy,0,,0,,1,,0,,0,0
barisma,0,,0,,1,,0,,0,0
misconceived,0,,0,,1,,0,,0,0
provocateur,0,,0,,1,,0,,0,0
trumplicans,0,,0,,1,,0,,0,0
freedumb,0,,0,,1,,0,,0,0
retart,0,,0,,1,,0,,0,0
ukrane,0,,0,,1,,0,,0,0
sniffin,0,,0,,1,,0,,0,0
crucify,0,,0,,1,,0,,1,Neutral
fallon,0,,0,,1,,0,,0,0
idiom,0,,0,,1,,0,,0,0
hancock,0,,0,,1,,0,,0,0
agist,0,,0,,1,,0,,0,0
curve,0,,0,,1,,1,,1,Neutral
chickened,0,,0,,1,,0,,0,0
badd,0,,0,,1,,0,,0,0
hateeeeee,0,,0,,1,,0,,0,0
duct,0,,0,,1,,0,,0,0
intruding,0,,0,,1,,0,,0,0
politicized,0,,0,,1,,0,,0,0
accupying,0,,0,,1,,0,,0,0
wonkiness,0,,0,,1,,0,,0,0
eaaee,0,,0,,1,,0,,0,0
toute,0,,0,,1,,0,,0,0
bludgeoned,0,,0,,1,,0,,0,0
rehearsal,0,,0,,1,,0,,0,0
blubbering,0,,0,,1,,0,,1,Neutral
methd,0,,0,,1,,0,,0,0
irrespective,0,,0,,1,,0,,0,0
pinned,0,,0,,1,,0,,0,0
lapel,0,,0,,1,,0,,0,0
fuxxn,0,,0,,1,,0,,0,0
roundall,0,,0,,1,,0,,0,0
vacx,0,,0,,1,,0,,0,0
scriptededited,0,,0,,1,,0,,0,0
trumpor,0,,0,,1,,0,,0,0
staffed,0,,0,,1,,0,,0,0
gutted,0,,0,,1,,0,,0,0
incidence,0,,0,,1,,0,,0,0
reassures,0,,0,,1,,0,,0,0
democats,0,,0,,1,,0,,0,0
moskal,0,,0,,1,,0,,0,0
sf,0,,0,,1,,0,,1,Neutral
druggies,0,,0,,1,,0,,0,0
guyits,0,,0,,1,,0,,0,0
warcriminal,0,,0,,1,,0,,0,0
greatso,0,,0,,1,,0,,1,Neutral
offhes,0,,0,,1,,0,,0,0
nutbar,0,,0,,1,,0,,0,0
babysitting,0,,0,,1,,1,,0,0
reanimated,0,,0,,1,,0,,0,0
sodom,0,,0,,1,,1,,0,0
gahmorra,0,,0,,1,,0,,0,0
evilness,0,,0,,1,,1,,0,0
clarifying,0,,0,,1,,0,,1,Neutral
ferrell,0,,0,,1,,0,,0,0
nonono,0,,0,,1,,0,,0,0
christain,0,,0,,1,,0,,0,0
hssffvwffdfhhgwafhav,0,,0,,1,,0,,0,0
libsguess,0,,0,,1,,0,,0,0
evol,0,,0,,1,,0,,0,0
unplayable,0,,0,,1,,0,,0,0
nationalistic,0,,0,,1,,0,,0,0
selfcentric,0,,0,,1,,0,,0,0
misspoke,0,,0,,1,,0,,0,0
prospective,0,,0,,1,,0,,1,Neutral
bidenplease,0,,0,,1,,0,,0,0
amnesty,0,,0,,1,,3,,0,0
currupt,0,,0,,1,,0,,0,0
prepped,0,,0,,1,,0,,0,0
nowwww,0,,0,,1,,0,,0,0
koe,0,,0,,1,,0,,0,0
ct,0,,0,,1,,4,,0,0
lateon,0,,0,,1,,0,,0,0
blabbering,0,,0,,1,,0,,0,0
beeen,0,,0,,1,,0,,0,0
starved,0,,0,,1,,0,,0,0
wisdomexperienceintegrity,0,,0,,1,,0,,0,0
humortrump,0,,0,,1,,0,,0,0
derail,0,,0,,1,,0,,0,0
prolonged,0,,0,,1,,0,,0,0
destabilization,0,,0,,1,,0,,0,0
candidatea,0,,0,,1,,0,,0,0
exam,0,,0,,1,,0,,2,Neutral
allamericans,0,,0,,1,,0,,0,0
incase,0,,0,,1,,1,,0,0
insanly,0,,0,,1,,0,,0,0
certifying,0,,0,,1,,0,,0,0
insurrectionmsg,0,,0,,1,,0,,0,0
instill,0,,0,,1,,0,,2,Neutral
jeanpierre,0,,0,,1,,1,,0,0
binary,0,,0,,1,,1,,0,0
cuzins,0,,0,,1,,0,,0,0
frontally,0,,0,,1,,0,,0,0
doush,0,,0,,1,,0,,0,0
insure,0,,0,,1,,0,,1,Neutral
survel,0,,0,,1,,0,,0,0
trevor,0,,0,,1,,0,,0,0
repuppeteers,0,,0,,1,,0,,0,0
outif,0,,0,,1,,0,,0,0
fouryear,0,,0,,1,,0,,1,Neutral
monthswhether,0,,0,,1,,0,,0,0
loooot,0,,0,,1,,0,,0,0
piedeyejie,0,,0,,1,,0,,0,0
gim,0,,0,,1,,0,,0,0
embareassed,0,,0,,1,,0,,0,0
systematically,0,,0,,1,,2,,0,0
commedy,0,,0,,1,,0,,0,0
fullblown,0,,0,,1,,0,,0,0
socialistcommunist,0,,0,,1,,0,,1,Neutral
fleet,0,,0,,1,,0,,0,0
milliondollar,0,,0,,1,,0,,0,0
destabilizing,0,,0,,1,,0,,1,Neutral
dysfunctional,0,,0,,1,,0,,0,0
functional,0,,0,,1,,0,,0,0
paperweight,0,,0,,1,,0,,0,0
answere,0,,0,,1,,0,,0,0
irene,0,,0,,1,,0,,0,0
indont,0,,0,,1,,0,,0,0
husk,0,,0,,1,,0,,0,0
condamnation,0,,0,,1,,0,,0,0
quba,0,,0,,1,,0,,0,0
trafficker,0,,0,,1,,3,,0,0
smuggler,0,,0,,1,,1,,0,0
cental,0,,0,,1,,0,,0,0
terminal,0,,0,,1,,0,,0,0
coronavirus,0,,0,,1,,0,,1,Neutral
desecrated,0,,0,,1,,0,,0,0
bugger,0,,0,,1,,1,,0,0
conceal,0,,0,,1,,0,,0,0
nill,0,,0,,1,,0,,0,0
bullshhh,0,,0,,1,,0,,0,0
progressively,0,,0,,1,,0,,0,0
hmmmmm,0,,0,,1,,1,,0,0
emagine,0,,0,,1,,0,,0,0
malarky,0,,0,,1,,0,,0,0
sesame,0,,0,,1,,0,,0,0
numbersthe,0,,0,,1,,0,,0,0
sidejobs,0,,0,,1,,0,,0,0
contries,0,,0,,1,,0,,0,0
cohesively,0,,0,,1,,0,,0,0
braid,0,,0,,1,,0,,1,Neutral
carmera,0,,0,,1,,0,,0,0
retaired,0,,0,,1,,0,,0,0
untill,0,,0,,1,,0,,0,0
lmaooooooo,0,,0,,1,,0,,0,0
palestineisrael,0,,0,,1,,0,,0,0
doortodoor,0,,0,,1,,0,,0,0
volunteering,0,,0,,1,,1,,1,Neutral
lambasting,0,,0,,1,,0,,0,0
yhis,0,,0,,1,,0,,0,0
caviar,0,,0,,1,,0,,0,0
disproportionately,0,,0,,1,,0,,1,Neutral
niche,0,,0,,1,,0,,0,0
bagging,0,,0,,1,,0,,0,0
